ts,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-01-04T01:05:08-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:05:08-05:00,basic-backend-1,0.00%,24.94MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:05:08-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:06:11-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:06:11-05:00,basic-backend-1,0.00%,24.94MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:06:11-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:07:13-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:07:13-05:00,basic-backend-1,0.00%,24.95MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:07:13-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:08:16-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:08:16-05:00,basic-backend-1,0.00%,24.95MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:08:16-05:00,basic-kernel-1,0.09%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:09:19-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:09:19-05:00,basic-backend-1,0.00%,24.95MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:09:19-05:00,basic-kernel-1,0.10%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:10:21-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:10:21-05:00,basic-backend-1,0.00%,24.95MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:10:21-05:00,basic-kernel-1,0.10%,45.82MiB / 7.659GiB,0.58%,3.97kB / 2.46kB,17.5MB / 0B,17
2026-01-04T01:11:23-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.35kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:11:23-05:00,basic-backend-1,0.00%,26.58MiB / 7.659GiB,0.34%,3kB / 1.73kB,3.81MB / 4.1kB,23
2026-01-04T01:11:23-05:00,basic-kernel-1,0.08%,44.93MiB / 7.659GiB,0.57%,872B / 126B,16.8MB / 0B,16
2026-01-04T01:12:26-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.39kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:12:26-05:00,basic-backend-1,0.00%,26.62MiB / 7.659GiB,0.34%,3.69kB / 2.37kB,3.81MB / 4.1kB,23
2026-01-04T01:12:26-05:00,basic-kernel-1,0.10%,45.8MiB / 7.659GiB,0.58%,2.47kB / 1.19kB,17.5MB / 0B,17
2026-01-04T01:13:29-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:13:29-05:00,basic-backend-1,0.00%,24.98MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:13:29-05:00,basic-kernel-1,0.09%,44.64MiB / 7.659GiB,0.57%,1.69kB / 627B,16.9MB / 0B,17
2026-01-04T01:14:32-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:14:32-05:00,basic-backend-1,0.00%,24.98MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:14:32-05:00,basic-kernel-1,0.09%,44.64MiB / 7.659GiB,0.57%,2.62kB / 1.26kB,17MB / 0B,17
2026-01-04T01:15:34-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:15:34-05:00,basic-backend-1,0.00%,24.98MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:15:34-05:00,basic-kernel-1,0.10%,45.89MiB / 7.659GiB,0.59%,3.63kB / 1.86kB,17.9MB / 0B,17
2026-01-04T01:16:37-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.73kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:16:37-05:00,basic-backend-1,0.00%,24.99MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
